乐谱名（日）,乐谱名（中）,获得方法,编号,类型,网易云,网易云类型（0无、1音乐、2电台）
雪風,雪风,金碟游乐场交换,2,5,41672489,2
水車の調べ,水车低鸣,格里达尼亚出售,1,1,28409319,2
偉大なる母港,伟大的母港,利姆萨·罗敏萨出售,2,1,28409306,2
希望の都,希望之都,乌尔达哈出售,3,1,28409287,2
堅牢 ～イシュガルド下層：昼～,监牢,伊修加德出售,4,1,41672490,2
砂の家,沙之家,萨纳兰出售,5,1,28409334,2
マンダヴィル?ゴールドソーサー,曼德维尔金碟游乐场,金碟游乐场交换,9,1,34274408,2
チョコボレース,陆行鸟竞赛,金碟游乐场交换,10,1,34274410,2
もう一杯！,再来一杯！,"道具制作
主要素材：摩杜纳交换",8,1,28409289,2
彩られし山麓 ～高地ドラヴァニア：昼～,华彩的山麓,"道具制作
主要素材：龙堡参天高地的恶名精英处获得",6,1,41672506,2
雲に隠れて ～アバラシア雲海：昼～,云中匿影,"道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得",7,1,41672499,2
プレリュード ～冒険の序章～,水晶序曲　～冒险的序章～,成就“旋律的沉醉者1”报酬,1,5,539759,2
事件屋のアレ,非著名调查员,金碟游乐场交换,4,5,28409344,2
ただひとつの道,唯一的行路,"道具制作
主要素材：寻宝获得",5,5,28409400,2
そして世界へ,走向世界,"道具制作
主要素材：飞空艇探索获得",6,5,28409301,2
Pa-Paya,啪啪呀,季节活动报酬,99,6,34274370,2
不屈の闘志,坚毅,伊修加德交换,7,5,27586650,2
血で血を洗って,以血洗血,"道具制作
主要素材：狼狱水上竞技场交换",9,5,34274389,2
餓えた狼 ～ザ?フィースト～,饿狼群集,"道具制作
主要素材：狼狱水上竞技场交换",10,5,482633468,2
潮衝 ～逆襲要害 サスタシャ浸食洞～,激潮,"道具制作
主要素材：“天然要害沙斯塔夏溶洞”或“逆转要害沙斯塔夏溶洞”获得",5,2,34274398,2
漆黒の誓い ～惨劇霊殿 タムタラの墓所～,漆黑的誓言,"道具制作
主要素材：“地下灵殿塔姆·塔拉墓园”或“惨剧灵殿塔姆·塔拉墓园”获得",4,2,34274382,2
闇の抱擁,黑暗的拥抱,"道具制作
主要素材：“封锁坑道铜铃铜山”或“骚乱坑道铜铃铜山”获得",2,2,28409390,2
嵐の中の灯火 ～怪鳥巨塔 シリウス大灯台～,风暴中的灯火,"道具制作
主要素材：“领航明灯天狼星灯塔”或“地脉灵灯天狼星灯塔”获得",1,2,34274397,2
イマジネーション ～蒼天聖戦 魔科学研究所～,异想天开,"道具制作
主要素材：“血战苍穹魔科学研究所”获得",6,2,41672538,2
上り階段をくだれ ～星海観測 逆さの塔～,上下易位,"道具制作
主要素材：“星海空间颠倒塔”获得",7,2,482636401,2
魔大戦の傷跡 ～腐敗遺跡 古アムダプール市街～,魔大战的伤痕,"道具制作
主要素材：“腐坏遗迹无限城市街古迹”或“神圣遗迹无限城市街古迹”获得",3,2,34274364,2
天より降りし力,天降之力,金碟游乐场交换,1,3,28409283,2
究極幻想 ～アルテマウェポン破壊作戦～,究极神兵,成就“旋律的沉醉者2”报酬,2,3,28409404,2
神なき世界,诸神已死,"道具制作
主要素材：“究极神兵破坏作战”获得
（以最低品级参加时获得概率上升）",3,3,28409403,2
原始の審判 ～蛮神イフリート討滅戦～,原始的审判,"道具制作
主要素材：“伊弗利特歼殛战”获得
（以最低品级参加时获得概率上升）",4,3,28409338,2
堕天せし者 ～蛮神ガルーダ討滅戦～,堕天使,"道具制作
主要素材：“迦楼罗歼殛战”获得
（以最低品级参加时获得概率上升）",5,3,28409376,2
過重圧殺！ ～蛮神タイタン討滅戦～,重压灭顶,"道具制作
主要素材：“泰坦歼殛战”获得
（以最低品级参加时获得概率上升）",6,3,28409362,2
英傑 ～ナイツ?オブ?ラウンド討滅戦～,英杰,"道具制作
主要素材：“圆桌骑士幻想歼灭战”获得
（以最低品级参加时获得概率上升）",7,3,41672539,2
魔神 ～魔神セフィロト討滅戦～,魔神,"道具制作
主要素材：“萨菲洛特歼殛战”获得
（以最低品级参加时获得概率上升）",8,3,482633465,2
傲慢,傲慢,"道具制作
主要素材：“水晶塔 古代人迷宫”获得",1,4,28409392,2
奈落へ,一落千丈,"道具制作
主要素材：“水晶塔 古代人迷宫”获得",2,4,28409394,2
ドーガとウネの心,多加与乌内之心,"道具制作
主要素材：“水晶塔 希尔科斯塔”获得",4,4,34274392,2
絢爛 ～クリスタルタワー：シルクスの塔～,绚烂,"道具制作
主要素材：“水晶塔 希尔科斯塔”获得",3,4,34274393,2
薄闇 ～クリスタルタワー：闇の世界～,暗淡,"道具制作
主要素材：“水晶塔 暗之世界”获得",5,4,34274414,2
最後の死闘 ～新生～,最后的死斗　～重生～,"道具制作
主要素材：“水晶塔 暗之世界”获得",6,4,34274417,2
悠久の風 ～新生～,悠久之风　～重生～,"道具制作
主要素材：“水晶塔 古代人迷宫”、
“水晶塔 希尔科斯塔”、“水晶塔 暗之世界”获得",7,4,34274418,2
雷鳴,雷鸣,"道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”获得
（以最低品级参加时获得概率上升）",8,4,28409370,2
白銀の凶鳥、飛翔せり,白银凶鸟展翅翱翔,"道具制作
主要素材：“巴哈姆特大迷宫 入侵之章4”获得
（以最低品级参加时获得概率上升）",9,4,34274379,2
灰より生まれし者,死灰复燃,"道具制作
主要素材：“巴哈姆特大迷宫 真源之章3”获得
（以最低品级参加时获得概率上升）",10,4,34274406,2
Answers,Answers　-生死答问-,"道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”、
“巴哈姆特大迷宫 入侵之章4”、“巴哈姆特大迷宫 真源之章4”获得
（以最低品级参加时获得概率上升）",11,4,27586721,2
闘争,斗争,田园郡交换,3,5,41672515,2
汗を流して,挥汗如雨,伊修加德交换,8,5,28409297,2
夢見る女王陛下,女王的美梦,乌尔达哈出售,13,1,28409292,2
船乗りは眠らない,水手不眠,利姆萨·罗敏萨出售,11,1,28409317,2
蛍たちの舞踏会,萤火之舞,格里达尼亚出售,12,1,28409324,2
ノブレス?オブリージュ ～イシュガルド上層：昼～,位高责重,伊修加德出售,14,1,41672516,2
マトーヤの洞窟 ～蒼天～,玛托雅的洞窟　～苍穹～,玛托雅的洞穴出售,15,1,41672526,2
旅の宿,歇宿,尾羽集落出售,16,1,41672498,2
風に向かって ～クルザス西部高地：昼～,迎风,"道具制作
主要素材：库尔札斯西部高地的恶名精英处获得",17,1,41672491,2
ランドロード ～ドラヴァニア雲海：昼～,人王,"道具制作
主要素材：翻云雾海的恶名精英处获得",18,1,41672511,2
欠けた頁 ～低地ドラヴァニア：昼～,缺失的书页,"道具制作
主要素材：龙堡内陆低地的恶名精英处获得",19,1,41672524,2
灼熱の地へ,灼热之地,乌尔达哈出售,22,1,28409285,2
西風に乗せて,乘上西风,利姆萨·罗敏萨出售,20,1,28409307,2
静穏の森,沉静,格里达尼亚出售,21,1,28409320,2
紅蓮祭,红莲节,季节活动报酬,99,6,34274385,2
Heavensward,Heavensward　-飞向苍穹-,季节活动报酬,99,6,41672488,2
秘密坑道 ～氷結潜窟 スノークローク大氷壁～,密道,“凛冽洞天披雪大冰壁”获得,9,2,34274402,2
不吉なる前兆,凶兆,田园郡交换,11,5,41672494,2
万世の言葉 ～禁書回収 グブラ幻想図書館～,万世箴言,“学识宝库迦巴勒幻想图书馆”获得,10,2,41672527,2
アンブレーカブル ～博物戦艦 フラクタル?コンティニアム～,坚不可摧,“博物战舰无限回廊”获得,11,2,41672537,2
詫言の詩 ～天竜宮殿 ソール?カイ～,谢罪之诗,“天龙宫殿忆罪宫”获得,12,2,482633486,2
地平線の彼方 ～財宝伝説 ハルブレーカー?アイル～,越过地平线,“财宝传说破舰岛”或“黑涡传说破舰岛”获得,8,2,34274380,2
船乗りには難破を ～蛮神リヴァイアサン前哨戦～,水手遇难,"道具制作
主要素材：“利维亚桑歼殛战”获得
（以最低品级参加时获得概率上升）",9,3,34274362,2
混沌の渦動 ～蛮神リヴァイアサン討滅戦～,混沌的漩涡,"道具制作
主要素材：“利维亚桑歼殛战”获得
（以最低品级参加时获得概率上升）",10,3,34274363,2
善王モグル?モグXII世,贤王莫古尔·莫古十二世,"道具制作
主要素材：“莫古力贤王歼殛战”获得
（以最低品级参加时获得概率上升）",11,3,28409384,2
最期の咆哮 ～ニーズヘッグ征竜戦～,绝命怒嚎,"道具制作
主要素材：“尼德霍格传奇征龙战”获得
（以最低品级参加时获得概率上升）",12,3,482636422,2
ビッグブリッヂの死闘 ～新生～,大桥上的死斗　～重生～,"道具制作
主要素材：“大桥上的决斗”或“无限城的死斗”获得",13,3,34274374,2
死闘 ～蒼天～,死斗　～苍穹～,金碟游乐场交换,14,3,482636458,2
蒼き翼,苍翼,"道具制作
主要素材：飞空艇探索获得",12,5,28409374,2
エオルゼアの守護者,艾欧泽亚的守护者,成就“旋律的沉醉者3”报酬,13,5,28409395,2
ラノシアの疾風,拉诺西亚的疾风,“水城宝物库”获得,23,1,27586622,2
冥き地の底に,大地低语,“水城宝物库”获得,24,1,27586627,2
ザナラーンの黄昏,萨纳兰的黄昏,“水城宝物库”获得,25,1,537615,2
Dragonsong,Dragonsong　-千年龙诗-,主线任务报酬,14,5,41672542,2
守護天節,守护天节,季节活动报酬,99,6,27586670,2
朝まで大騒ぎ,彻夜狂欢,季节活动报酬,99,6,482636446,2
星芒祭,星芒节,季节活动报酬,99,6,27586671,2
降神祭,降神节,季节活动报酬,99,6,27586668,2
第七星暦,第七星历,成就“旋律的沉醉者5”报酬,15,5,28409407,2
燻る灰,熏灰,灰阵营交换,30,1,28409335,2
大らかな家,豁达的家,西风岛交换,31,1,28409335,2
ノブレス?スリープス ～イシュガルド上層：夜～,贵族沉眠,伊修加德出售,27,1,41672496,2
雲霧街の夜霧 ～イシュガルド下層：夜～,夜雾缭绕,伊修加德出售,28,1,41672519,2
安らぎの部屋,安乐小屋,艾欧泽亚三国出售,32,1,27586643,2
リフレクション,倒影,摩杜纳交换,33,1,28409378,2
天上の世界 ～アバラシア雲海：夜～,天上世界,"道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得",29,1,41672502,2
クルザスの静寂,库尔札斯的寂静,“水城宝物库”获得,26,1,27586637,2
心の故郷,心灵的归处,住宅区出售,34,1,27586653,2
ホームステッド,家园,田园郡出售,35,1,41672528,2
試練を超える力,灾厄蔓延,“水城宝物库”获得,16,5,28409413,2
戦闘シーン1.X,战斗1.X,金碟游乐场交换,17,5,28409342,2
漆黒のエッダ,漆黑的艾达,“死者宫殿”获得,16,2,482636431,2
トイレに行けない夜,幽幻夜雾,"石场水车交换
（突破死者宫殿地下150层后解放）",18,2,482633509,2
笛吹大魔王,渎神魔王,"石场水车交换
（突破死者宫殿地下100层后解放）",17,2,482633511,2
死亡報告,死亡报告,"石场水车交换
（突破死者宫殿地下200层后解放）",19,2,482633510,2
永遠の眠り ～霊峰踏破 ソーム?アル～,永眠,“天山绝顶索姆阿尔灵峰”获得,14,2,41672510,2
銀の涙 ～幻龍残骸 黙約の塔～,银泪,“幻龙残骸密约之塔”获得,13,2,34274421,2
地殻 ～峻厳渓谷 ゼルファトル～,地壳,任务报酬,15,2,482633521,2
雪上の足跡 ～蛮神シヴァ前哨戦～,雪上的足迹,"道具制作
主要素材：“希瓦歼殛战”获得
（以最低品级参加时获得概率上升）",15,3,34274403,2
忘却の彼方 ～蛮神シヴァ討滅戦～,忘却的彼岸,"道具制作
主要素材：“希瓦歼殛战”获得
（以最低品级参加时获得概率上升）",16,3,34274404,2
雷光雷鳴 ～蛮神ラムウ討滅戦～,电闪雷鸣,"道具制作
主要素材：“拉姆歼殛战”获得
（以最低品级参加时获得概率上升）",17,3,34274384,2
女神 ～女神ソフィア討滅戦～,平衡,"道具制作
主要素材：“索菲娅歼殛战”获得
（以最低品级参加时获得概率上升）",18,3,482633535,2
製造者責任 ～機工城アレキサンダー：起動編～,父子之罪,任务报酬,12,4,41672543,2
ローカス ～機工城アレキサンダー：起動編～,轨迹,任务报酬,13,4,41672544,2
メタル ～機工城アレキサンダー：起動編～,金属,任务报酬,14,4,41672545,2
メタル：ブルートジャスティスモード ～機工城アレキサンダー：律動編～,金属 - 正义无情,任务报酬,15,4,482636405,2
指数崩壊 ～機工城アレキサンダー：天動編～,指数崩坏,任务报酬,16,4,482633522,2
ライズ ～機工城アレキサンダー：天動編～,起义,任务报酬,17,4,906580345,3
国境なき空（Duality）,无边无际（身心二元）,通过道具码获得,99,6,798852622,3
曲がらぬ刃 ～蛮神ラーヴァナ討滅戦～（Duality）,不屈之刃（身心二元）,通过道具码获得,99,6,798852628,3
純愛の口づけ,纯爱之吻,季节活动报酬,99,6,482636404,2
イタズラっ子たち,小小捣蛋鬼,妖精暂留地交换,36,1,28409346,2
分かたれし者たち,离群一族,自由脑窟穴交换,37,1,482636403,2
フロンティア,边境,摩杜纳交换,38,1,28409377,2
儚き光彩,一瞬的光彩,跨天桥出售,39,1,28409373,2
潮風香る街,海风飘香,小麦酒港出售,40,1,28409311,2
刃、厚いほどに,厚于利刃,忘忧骑士亭交换,41,1,34274386,2
宝石 ～雲海探索 ディアデム諸島～,宝石,云冠群岛上锁的宝箱中获得,21,5,41672503,2
勝利への猛攻,向胜利冲锋,任务报酬,22,5,482636450,2
帝国の意志,帝国的意志,任务报酬,23,5,27586715,2
鋼の理念,钢铁理念,任务报酬,24,5,27586716,2
祈りの歌,祈祷之歌,住宅区出售,19,5,27586681,2
永遠の離別,永远的离别,任务报酬,20,5,28409361,2
極限を超えて,超越极限,“水城宝物库”获得,18,5,28409389,2
聖座 ～強硬突入 イシュガルド教皇庁～,圣座,“圣教中枢伊修加德教皇厅”获得,20,2,41672517,2
砂塵,尘沙,任务报酬,21,2,27586630,2
アナザーブリック ～巨大防壁 バエサルの長城～,另一块砖,任务报酬,22,2,482633540,2
斬 ～蛮神オーディン討滅戦～,斩,"道具制作
主要素材：“奥丁歼灭战”获得
（以最低品级参加时获得概率上升）",19,3,28409410,2
果てなき蒼 ～蛮神ビスマルク前哨戦～,无尽苍空,"道具制作
主要素材：“俾斯麦歼殛战”获得
（以最低品级参加时获得概率上升）",20,3,41672521,2
狂気なる災厄 ～蛮神ビスマルク討滅戦～,灾厄狂起,"道具制作
主要素材：“俾斯麦歼殛战”获得
（以最低品级参加时获得概率上升）",21,3,41672522,2
武神降臨 ～蛮神ラーヴァナ前哨戦～,武神降临,"道具制作
主要素材：“罗波那歼殛战”获得
（以最低品级参加时获得概率上升）",22,3,41672507,2
曲がらぬ刃 ～蛮神ラーヴァナ討滅戦～,不屈之刃,"道具制作
主要素材：“罗波那歼殛战”获得
（以最低品级参加时获得概率上升）",23,3,41672508,2
鬼神 ～鬼神ズルワーン討滅戦～,无限,"道具制作
主要素材：“祖尔宛歼殛战”获得
（以最低品级参加时获得概率上升）",24,3,482636463,2
戦乱 ～大迷宮バハムート：侵攻編～,战乱,金碟游乐场交换,19,4,34274378,2
螺旋 ～大迷宮バハムート：邂逅編～,螺旋,金碟游乐场交换,20,4,28409412,2
メビウス ～機工城アレキサンダー：天動編～,无限循环,田园郡交换,18,4,482633523,2
エーテル圏 ～魔航船ヴォイドアーク～,以太圈,田园郡交换,21,4,41672532,2
ヴォイドの棺 ～魔航船ヴォイドアーク～,虚无之棺,田园郡交换,22,4,41672534,2
雨と涙に濡れて ～禁忌都市マハ～,雨中泪,田园郡交换,23,4,482636424,2
幾千の顔 ～禁忌都市マハ～,千面,田园郡交换,24,4,482633505,2
約束の地 ～影の国ダン?スカー～,希望之地,任务报酬,25,4,482636460,2
影法師 ～影の国ダン?スカー～,泡影,任务报酬,26,4,482633538,2
ハイパーレインボーZ,超级虹彩战队Z,季节活动报酬,99,6,482633520,2
Answers：Reprise,生死答问 - 回响,季节活动报酬,99,6,34274383,2
Stormblood,Stormblood　-血雨狂潮-,季节活动报酬,99,6,1367828458,3
小波,环境音:涛声,住宅区出售,25,5,1368203479,3
鳥のさえずり,环境音:鸟鸣,住宅区出售,26,5,1368203480,3
雨音,环境音:雨声,住宅区出售,27,5,1368203481,3
ヒグラシ,环境音:蝉鸣,住宅区出售,28,5,1368203482,3
有毒植物 ～草木庭園 聖モシャーヌ植物園～,有毒植物,“草木庭园圣茉夏娜植物园”获得,23,2,41672530,2
ビブリオフォビア ～稀書回収 グブラ幻想図書館～,恐书症,“秘本宝库迦巴勒幻想图书馆”获得,24,2,482636447,2
啓示 ～蛮神スサノオ討滅戦～,启示,"道具制作
主要素材：“须佐之男歼殛战”获得
（以最低品级参加时获得概率上升）",25,3,864433994,2
美の謀略 ～蛮神ラクシュミ討滅戦～,阴谋美计,"道具制作
主要素材：“吉祥天女歼殛战”获得
（以最低品级参加时获得概率上升）",26,3,509330657,2
スカイロード ～ドラヴァニア雲海：夜～,天王,"道具制作
主要素材：翻云雾海的恶名精英处获得",42,1,41672514,2
静寂の星空 ～低地ドラヴァニア：夜～,静寂的星空,"道具制作
主要素材：龙堡内陆低地的恶名精英处获得",43,1,41672529,2
壁の向こう側 ～ギラバニア辺境地帯：昼～,铁壁之外,危命任务“树人长老——奇尔尼斯”获得,44,1,864433976,2
焔の海 ～紅玉海：昼～,火焰之海,危命任务“做梦的大名——大名观梦螺”获得,45,1,864433987,2
地平線に沈め ～アジムステップ：昼～,沉没于天际,神拳痕、黄金港交换,46,1,864433999,2
忍びの刃,隐忍之刃,葡萄酒港出售,47,1,34274399,2
潮風の集う街,汇集的海风,“运河宝物库”或“运河宝物库深层”获得,48,1,27586620,2
木々のさざめく街,喧嚣的树丛,“运河宝物库”或“运河宝物库深层”获得,49,1,27586626,2
運命の交わる街,交错的命运,“运河宝物库”或“运河宝物库深层”获得,50,1,27586632,2
虫の音,环境音:虫鸣,住宅区出售,29,5,1368203483,3
焚き火,环境音:篝火,住宅区出售,30,5,1368203484,3
朝の台所,环境音:晨间厨房,住宅区出售,31,5,1368203485,3
鳥たちの饗宴 ～ライバルウィングズ～,猛禽猎食,狼狱水上竞技场交换,33,5,864489029,2
壊神の拳が届く場所,神拳之痕,任务报酬,52,1,864489017,2
我らが支配圏,帝国之威,任务报酬,51,1,864433982,2
衝撃 ～ラールガーズリーチ：昼～,冲击,神拳痕交换,53,1,864433975,2
紅の夜明け ～クガネ：昼～,红色黎明,“运河宝物库”或“运河宝物库深层”获得,54,1,864433986,2
高みより ～ギラバニア山岳地帯：昼～,登高远望,神拳痕交换,55,1,864433980,2
塩と苦難の歌 ～ギラバニア湖畔地帯：昼～,盐与苦难之歌,神拳痕交换,56,1,864434014,2
父の誇り ～ヤンサ：昼～,光宗耀祖,“运河宝物库”或“运河宝物库深层”获得,57,1,864433998,2
硬き者たち,硬甲,碧玉水交换,58,1,864489027,2
開けられた玉手箱 ～海底宮殿 紫水宮～,打开的玉手箱,“海底宫殿紫水宫”获得,25,2,864433990,2
英雄ならざる者 ～伝統試練 バルダム覇道～,英雄未成,“试炼行路巴儿达木霸道”获得,26,2,864434002,2
策謀 ～悪党成敗 クガネ城～,策谋,“恶党孤城黄金阁”获得,27,2,864434008,2
故郷より離れて ～水没遺構 スカラ～,离乡,“沉没神殿斯卡拉遗迹”获得,28,2,864489026,2
龍の首 ～神龍前哨戦～,神龙见首,"道具制作
主要素材：“神龙梦幻歼灭战”获得
（以最低品级参加时获得概率上升）",27,3,906612500,3
龍の尾 ～神龍討滅戦～,神龙见尾,"道具制作
主要素材：“神龙梦幻歼灭战”获得
（以最低品级参加时获得概率上升）",28,3,907348432,3
Trisection,三等分,“失落之都拉巴纳斯塔”获得,27,4,22773231,2
橋上の戦い,桥上之战,“失落之都拉巴纳斯塔”获得,28,4,34478864,2
Ultema the Nice Body,阿尔蒂玛优雅形态,“失落之都拉巴纳斯塔”获得,29,4,22773229,2
主人公のテーマ,主人公主题曲,任务报酬,30,4,518863262,2
Backborn Story,背景故事,任务报酬,31,4,864489035,2
究極幻想（Orchestral）,究极神兵（交响乐版）,通过道具码获得,100,6,525120032,2
英傑（Orchestral）,英杰（交响乐版）,通过道具码获得,100,6,525122031,2
星芒の扉,星芒之门,季节活动报酬,99,6,864489024,2
小川のせせらぎ,环境音:小河流水,住宅区出售,34,5,1368203489,3
街路のざわめき,环境音:街市嘈杂,住宅区出售,35,5,1368203486,3
寺院の鐘,环境音:寺院钟鸣,住宅区出售,36,5,1368203487,3
聖堂の鐘,环境音:教堂钟鸣,住宅区出售,37,5,1368203488,3
カイエンのテーマ ～紅蓮～,凯严主题曲　～红莲～,任务报酬,38,5,864434000,2
Iroha,五郎八,任务报酬,39,5,864489042,2
日溜り,惬意,金碟游乐场交换,40,5,27586658,2
紅蓮のプレリュード,红莲序曲,成就“旋律的沉醉者6”报酬,44,5,864433974,2
ライバルウィングズ ～アストラガロス機工戦～,烈羽争锋,狼狱水上竞技场交换,32,5,864489028,2
紅の夜更け ～クガネ：夜～,红色夜阑,“运河宝物库深层”获得,59,1,864434007,2
宵の海 ～紅玉海：夜～,深宵之海,神拳痕交换,60,1,864433991,2
母の誇り ～ヤンサ：夜～,母以子贵,“运河宝物库深层”获得,61,1,864434004,2
地平線より昇れ ～アジムステップ：夜～,升起于地平,神拳痕交换,62,1,864434001,2
我ら国境警備隊,边防卫士,威罗迪纳基地交换,63,1,864489046,2
乱風の囁き ～禁断の地 エウレカ：アネモス編～,邪风飒飒,常风地带上锁的宝箱中获得,45,5,864489054,2
ノー?クォーター,手下无情,常风地带上锁的宝箱中获得,46,5,864489056,2
鬼の棲む島 ～紅玉火山 獄之蓋～,鬼岛,“红玉火山狱之盖”获得,31,2,864489041,2
アンブレーカブル（Duality） ～博物戦艦 フラクタル?コンティニアム～,坚不可摧（身心二元）,“疯狂战舰无限回廊”获得,32,2,864489047,2
燃えよクァール ～壊神修行 星導山寺院～,豹头环眼,“修行古刹星导寺”获得,29,2,864433979,2
自由か死か ～紅蓮決戦 アラミゴ～,自由或是死亡,“鏖战红莲阿拉米格”获得,30,2,864489015,2
鬨の声,呐喊,金碟游乐场交换,43,5,864433985,2
天つ雷 ～白虎前哨戦～,天雷,"道具制作
主要素材：“白虎诗魂战”获得
（以最低品级参加时获得概率上升）",29,3,864489043,2
天つ風 ～白虎征魂戦～,天风,"道具制作
主要素材：“白虎诗魂战”获得
（以最低品级参加时获得概率上升）",30,3,864489045,2
逆襲の咆哮,复仇的怒嚎,金碟游乐场交换,42,5,482636402,2
破砕 ～クリスタルタワー：シルクスの塔～,破碎,“水晶塔 希尔科斯塔”获得,32,4,34274394,2
永遠の欠片,永远的碎片,住宅区出售,41,5,482633524,2
セイレーンの呼び声,塞壬的歌声,季节活动报酬,99,6,864489057,2
そよぐ風鈴,环境音:风铃轻荡,住宅区出售,47,5,,
海中の音,环境音:海中,"道具制作
主要素材：潜水艇探索获得",48,5,,
勝利か死か,胜利或是死亡,多玛飞地出售,49,5,,
東方の地,东方之地,痉挛寨交换,50,5,864433992,2
別れ,离别,“天之御柱”获得,51,5,864434006,2
Revolutions,Revolutions　-变革之时-,季节活动报酬,99,6,864489018,2
古の都 ?神聖遺跡 古アムダプール市街?,古都,“神圣遗迹无限城市街古迹”获得,33,2,482633469,2
月亮門 ～解放決戦 ドマ城～,月亮门,“解放决战多玛王城”获得,34,2,864434005,2
地風水 ～風水霊殿 ガンエン廟～,风水宝地,“风水灵庙岩燕庙”获得,35,2,864489062,2
黒闇と白雪 ?クルザス西部高地：夜?,黑暗与白雪,"道具制作
主要素材：库尔札斯西部高地的恶名精英处获得",64,1,41672495,2
天晴大鯰音頭,天晴大鲶音头,朵洛衣楼交换,65,1,864489059,2
ワールドマップ,世界地图,任务报酬,33,4,864489067,2
A Chapel,小礼拜堂,任务报酬,34,4,864489068,2
ギルヴェガンの謎,基鲁菲冈之谜,“封闭圣塔黎铎拉纳大灯塔”获得,35,4,864489071,2
Apoplexy,卒中,“封闭圣塔黎铎拉纳大灯塔”获得,36,4,864489072,2
剣の一閃,剑闪,“封闭圣塔黎铎拉纳大灯塔”获得,37,4,864489073,2
新大陸への礎（いしずえ）～調査拠点アステラ,前往新大陆的基础～调查据点星辰,黄金港交换,52,5,537854168,2
森を牛耳る蛮顎の竜,支配森林的蛮颚之龙,黄金港交换,33,3,537854177,2
英雄の証～Monster Hunter : World version,英雄之证～?怪物猎人 世界?版,“雄火龙上位狩猎战”获得,34,3,537854192,2
月下美人 ?蛮神ツクヨミ前哨戦?,月下美人,"道具制作
主要素材：“月读幽夜歼灭战”获得
（以最低品级参加时获得概率上升）",31,3,864489075,2
月下彼岸花 ?蛮神ツクヨミ討滅戦?,彼岸花开,"道具制作
主要素材：“月读幽夜歼灭战”获得
（以最低品级参加时获得概率上升）",32,3,864489077,2
白銀の凶鳥、飛翔せり（Orchestral）,白银凶鸟展翅翱翔（交响乐版）,道具商城购买,1,7,507585646,2
逆襲の咆哮（Orchestral）,复仇的怒嚎（交响乐版）,道具商城购买,2,7,525122030,2
忘却の彼方 ?蛮神シヴァ討滅戦?（Orchestral）,忘却的彼岸（交响乐版）,道具商城购买,3,7,525122032,2
