大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明,new
077047.tex,058047.tex,4.5,1,マジックカーペット,未知,,魔法仕掛けの空飛ぶ絨毯。近東地域に伝わる伝承によれば、かつてコルヴォ地方を治めていた王が、調伏した妖精に命じて同様の空飛ぶ絨毯を仕立てさせたという。これは、伝説の品を近代の魔法技術によって再現したもの,3
077042.tex,058042.tex,4.5,1,青のカムイ,青龙诗魂战-稀有掉落,,四聖獣「青龍」の神通力を受け、青の春風をまとった大狼。おそらく人々に捨てられた大狼を、青龍が再生させたことで、誕生したものと思われる,2
077041.tex,058041.tex,4.5,1,九尾のカムイ,搜集全部蛮神犬后，去黄金港(X:11.6Y:9.9)找かわら版売り<br/>完成任务「九尾、現世に舞い降りん」<br/>※NPCかわら版売り满足条件时才会出现,,東方地域に伝わる幻獣。数多のカムイを従えた英雄が、魔笛を吹き鳴らした時に現れ、天上の世界へと導くとされる。その姿は、九尾の狐として知られる瑞獣「玉藻御前」に似ているが、これは偶然ではないだろう,2
077040.tex,058040.tex,4.5,1,サボテンダー?エンペラドール,"2,000,000金蝶币兑换",,マンダヴィル?ゴールドソーサーを模した空飛ぶサボテンダー像。「帝王」を意味する名が示すとおり、威風堂々と世界の空を駆ける。そもそも、なぜゴールドソーサーの外装がサボテンダー型なのか、その理由を知る者はいない,2
077039.tex,058039.tex,4.5,1,魔導マグナローダー改,群狼盛宴第十二赛季，单人排位名次前一百名,,ギラバニアにて回収された帝国製魔導兵器の残骸を、ゴブリン族の技師が修理、改良した車両。外装がより強固な超硬サーメット合金に変更され、重量が増したぶん、人工筋肉の出力を上げて最高速度を維持している,2
077034.tex,058034.tex,4.5,1,でぶ黒チョコボ,未知,,食い意地の張った黒チョコボの親分。「からあげ」が大好物で、むしゃむしゃと食べ続けたために、これほどの巨体へと成長を遂げたらしい。その正体は、チョコボではなく妖精なのではないかとも、囁かれているが……,3
077033.tex,058033.tex,4.5,1,魔導マグナローダー,群狼盛宴第十一赛季，组队排位名次前一百名,,ギラバニアにて回収された帝国製魔導兵器の残骸を、ゴブリン族の技師が修理、改良した車両。本来は自律行動可能な戦闘兵器であったが、制御機構を再現できなかったため、有人機へと仕様変更が行われている,3
077037.tex,058037.tex,4.45,1,火巨人,禁断の地エウレカ：ピューロス編<br/>幸福兔的金箱-稀有掉落,,炎のような毛に覆われた巨獣。元はありふれたイエティであったようだが、火属性の力が極めて強いピューロス帯にいた影響で、炎の魔力を獲得したようだ。通常は凶暴であるが、屈服させることができれば従順になるという,2
077036.tex,058036.tex,4.4,1,提丰老师,"750,000金蝶币兑换",,在咒术师举行的妖异召唤实验中被意外召唤出来的谜一样的生物。经历了各种曲折后，现在正在曼德维尔金碟游乐场繁忙地工作着。虽然不善言谈，但让人意外的是它会很认真地完成自己的工作。,1
077035.tex,058035.tex,4.45,1,SDS芬里尔,国际服FanFest2018-2019贩卖道具,,以幻兽芬里尔命名的战斗机车。是一辆名副其实拥有大排气量、能够高速行驶的机车。顺便一提，SDS是斯特莱夫配送服务的简称。,2
077032.tex,058032.tex,4.4,1,魔导浮空装甲,20000狼印战绩兑换<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人,,加雷马帝国军开发的单座式浮空装甲。艾欧泽亚同盟军虏获了因为引擎故障而坠落的魔导浮空装甲。经过加隆德炼铁厂的协助完成了修理。曾用于测试评价战斗能力。,1
077031.tex,058031.tex,4.4,1,欧米茄,欧米茄零式时空狭缝 阿尔法幻境4-稀有掉落,,在时空狭缝中回收到的外形与欧米茄十分相似的自律飞行机器。据猜测应该是在模仿人类时，为了检验坐骑到底是否有用，而被制造出来的机体。因为只限骑乘用，所以不具备任何武装。,1
077030.tex,058030.tex,4.4,1,朱焰神威,朱雀诗魂战-稀有掉落,,被四圣兽之朱雀灌输了神通力的巨狼，周身燃烧着朱红色的烈焰。它曾经为了救助人类而奋战至死，朱雀将其苏生后化为了现在的样子。,1
077029.tex,058029.tex,未知,1,大肥猫,未知,,长得肥肥的大猫。它摇晃着那巨大的身体撼动着大地与天空，纵横无尽地四处飞奔。感觉已经变成像是猫妖一样的生物，不过身上的脂肪和皮毛给骑乘的人带来非常舒服的体验，所以细节的事情就不要在意了。,3
077027.tex,058027.tex,4.3,1,幽夜神威,月读幽夜歼灭战-稀有掉落,,受到夜神的祝福，散发着月光之力的巨狼。它的出现有可能是由于以帝国军设施为领地的野生狼受到了夜神以太的影响。,0
077026.tex,058026.tex,4.35,1,绝地,完成成就「真正英雄的证明」,,在天之御柱中发现的健壮的军马。被古代的君王所钟爱，称其为“快到离开地面的骏马”并得名绝地。事实上，绝地可以在风水术的帮助下在空中飞翔。,0
077025.tex,058025.tex,4.35,1,火龙,"火龙上位狩猎战-稀有掉落<br/>或猛汉加工屋 黄金港（X:9.8,Y:8.9）<br/>「火龙的上鳞」50枚交换",,被誉为空之王者的飞龙种，可以喷吐出炽热的吐息。<br/>据说在遥远的异国他乡，有很多猎人为了得到它身上的鳞片等素材而孜孜不倦地狩猎着。,0
077024.tex,058024.tex,4.35,1,原型运输器,群狼盛宴第八赛季，单人排位名次前一百名,,在加雷马帝国魔导院完成开发的次世代运输平台。本机为试做机，跟之后量产的型号相比运用了更高品质的钢材。但是基本性能没有很大差别。,0
077023.tex,058023.tex,4.35,1,魔导运输器,群狼盛宴第八赛季，组队排位名次前一百名,,在加雷马帝国魔导院完成开发的次世代运输平台。运用了飞空艇技术，乘坐感极为舒适。令人忍不住会“哈哈哈……”地笑出来。另外本机为纯粹的运输用机体，因此不具备任何战斗能力。,0
077022.tex,058022.tex,4.35,1,渡渡鸟,天之御柱-「白金宝藏」稀有掉落,,被认为已在东方地域灭绝的幻之陆鸟。为了适应天之御柱上层的封闭环境而获得了超越种族界限的飞行能力。以和冒险者的相遇为契机，下定决心要去外界展翅翱翔。,0
077020.tex,058020.tex,4.3,1,护送系统,完成成就「常在战场5」,,圣寇伊纳克财团所挖掘出来的古代亚拉戈帝国球形运输系统。<br/>在更新操作系统之后，安全面得到了强化。与以往的型号相比，美中不足的是操作界面发生了改变。,0
077019.tex,058019.tex,4.35,1,须鲸,道具商城购买,,栖息于琉璃洋的大型生物。会成群结伴移动很远的距离前往外洋觅食。和斑鳐同样，须鲸也会将身体作为以太翼一样进行飞翔。因为身体巨大，所以可以轻松承载好几个人。,0
077018.tex,058018.tex,4.3,1,巨鲶鱼神轿,鲶鱼精友好度到达-誓约后<br/>在该蛮族商店用20枚鲶鱼小判兑换,,在大鲶大祭中使用的浮空前进式神轿。<br/>神轿顶端装饰着金光闪闪的鲶鱼精祖先——巨鲶鱼大人的雕像，<br/>完美重现了鱼信在梦境中遇见的巨鲶鱼大人的身姿。<br/>神轿还附有对冒险者忠心耿耿的8位鲶鱼精轿夫跟随。,0
077017.tex,058017.tex,4.3,1,空军装甲,欧米茄零式时空狭缝 西格玛幻境4-稀有掉落,,西格玛幻境制造出的谜之飞行器。似乎是某个国家开发的，不过详细无从得知。由于机头被画上了鲨鱼张着嘴的涂鸦，看上去还有点可爱。,0
077016.tex,058016.tex,4.25,1,暴龙,常风地带上锁的宝箱-稀有掉落,,被人叫做“暴君”的古代肉食兽，由于长时间沐浴在瓦尔岛的风属性以太中，拥有不可思议的浮游能力。虽然性格凶暴无比，但会服从认定了实力的冒险者。,0
077015.tex,058015.tex,4.x,1,飞天半心椅（左）,2019年恋人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说是莉赛特为了实现飞在天上的蜜月而费尽心力开发的。,2
077014.tex,058014.tex,4.x,1,飞天半心椅（右）,2019年恋人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说为了让椅子浮起来，瓦伦提昂家动员家里所有人栽培白云花。,2
077013.tex,058013.tex,4.2,1,真狮鹫,阿难陀族友好度到达-誓约后<br/>在该蛮族商店用18枚魔金锡币兑换,,原产于阿巴拉提亚山脉的有翼魔兽。由阿拉米格解放军的驯兽人基弗用心养育。可以听从骑手的命令扇起突风。另外，这只真狮鹫这么白似乎是品种原因。,0
077012.tex,058012.tex,4.2,1,魔象,阿难陀族友好度到达-誓约后<br/>在该蛮族商店用18枚魔金锡币兑换,,被阿难陀族使役的大型兽。身披魔力纤维织成的魔法绒毯，能够借助魔力浮游。当然魔象是不会飞的，更不会靠扇动耳朵来飞。,0
077011.tex,058011.tex,4.2,1,拘束型魔导死亡爪,"成就报酬-6枚成就币<br/>格里达尼亚旧街（X:10.6 , Y:6.3）乔纳森处兑换",,帝国将亚拉戈的古代兵器钢铁之爪改进后设计出的魔导兵器。配备给特务宪兵队的这台拘束型经过特别调整，可以拘束犯人将其带走。,0
077010.tex,058010.tex,4.2,1,白帝神威,白虎诗魂战-稀有掉落,,被四圣兽之白虎灌输了神通力的巨狼，周身刮着永不停息的天风。据说是白虎镇压了为祸人间的巨狼后诞生的。,0
077009.tex,058009.tex,4.2,1,赤兔马,道具商城购买,,赤兔马是统一延夏的名将岩燕的爱马。传说岩燕通过自创的风水术令赤兔也学会了飞上天空的技巧。据说这匹马继承了当年那匹赤兔的血统，不过无人能够分辨是真是假。,0
077008.tex,058008.tex,4.1,1,叶大妖,"750,000金蝶币兑换",,茁壮成长后的叶小妖。一直在寻找理想中的住所，最终来到了金碟游乐场。在穿越撒沟厉沙漠的时候差一点干枯而死，没想到吸水后反弹，得到了让人目瞪口呆的巨大身体。,0
077007.tex,058007.tex,4.1,1,魔导复仇者骑乘型,完成成就「凯旋之翼3」,,哥布林族改良的帝国制无人魔导兵器。原本是无人机，后来被哥布林族得到。哥布林族为了将其用于骑乘而对其进行了改造，就变成了现在的样子。只是不太明白这究竟算是高科技还是低科技。,0
077006.tex,058006.tex,4.1,1,飞行座椅,炼金术士Lv70，2星生产配方<br/>材料「白云花」云海探索掉落（云海23）,,施了魔法的飞天座椅。飞行高度更高，但质量并没有变。工匠们时刻发明实用的设计与配方，要将手工制作的成品送给全世界的冒险者。多给的内六角扳手让人觉得十分周到。,0
077005.tex,058005.tex,4.1,1,黄水晶宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的黄水晶，所以即使不是秘术师也可以将其召唤出来。,0
077004.tex,058004.tex,4.1,1,海蓝宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的海蓝石，所以即使不是秘术师也可以将其召唤出来。,0
077003.tex,058003.tex,4.1,1,斑鳐,甲人族友好度到达-誓约后<br/>在该蛮族商店用12枚珊瑚币兑换,,由甲人族的饲鳐员训练出来的斑鳐。整个扁平的身体发挥了以太翼的功能，借助水属性与风属性以太，既可以在水中游泳，也可以在空中飞行。由于被优哉游哉的碧甲族饲养长大，性格十分敦厚。,0
077002.tex,058002.tex,4.x,1,星芒熊,2018年星芒节奖励,,星芒节执行委员贝恩费尔德饲养的熊，名叫帝星。为了哄孩子们开心而学会了投掷礼花筒的技艺，还用这招教训了偷窃星芒节装饰物的树精。,0
077001.tex,058001.tex,4.1,1,梦幻神威,神龙歼灭战-稀有掉落,,受到神龙的祝福，散发着神圣光芒的巨狼。它的出现有可能是由于阿拉米格军犬被神龙之光照射到了。,0
068497.tex,004497.tex,4.x,1,风火轮,道具商城购买,,传说中的英雄所使用的宝物。因二轮均能够喷风生火，故名风火轮，移动速度极快，踏在脚下可以日行千星里。虽然飞行时看起来火苗很大，但是并不会烧到人或物。,0
068496.tex,004496.tex,4.x,1,伊克西翁,"参加FATE「传说中的雷马——伊克西翁」并获得：伊克西翁的雷角12个<br/>神拳痕（X:13.8 , Y:11.8）艾西娜，兑换",,基拉巴尼亚地区传说中的古代幻兽。在星导教的教义中，它是破坏神拉尔戈的爱马，但来自玛哈的魔法书却将其记载为由魔具强化过的生物。唯一可以确定的就是它具备操纵雷电的能力。,0
068495.tex,004495.tex,4.x,1,兵团虎,完成成就「怪物猎人传奇」,,在百家兵团训练的猛虎。曾经有一名怪物猎人在讨伐恶名精英的食人虎时发现了其幼崽，出于同情便将它保护起来，交给了兵团的团员养育。经历过魔法训练，可以在空中飞行。,0
068494.tex,004494.tex,4.05,1,老者,欧米茄零式时空狭缝 德尔塔幻境4-稀有掉落,,,0
068493.tex,004493.tex,4.x,1,胡鹰,完成主线Lv65“巴儿达木霸道的试炼”,,栖息在太阳神草原山区的怪鸟。将巴儿达木霸道视为自己的地盘，将进入者视为自己的猎物。虽然是非常狰狞的猛禽，但只要是它承认的实力者，它就会把对方当成狩猎的朋友，并允许对方骑在自己背上。,0
068492.tex,004492.tex,4.x,1,斗豹,完成成就「为人民服务的暗黑骑士3」,,专门为了战斗而训练的军用黑豹。通过本能操纵魔力的黑豹对暗黑骑士而言堪比自然界之师。据说在历代的暗黑骑士中，还有人与黑兽为友，仿若黑影一般，四处奔走行使正义。,0
068491.tex,004491.tex,4.x,1,斗熊,完成成就「为人民服务的战士3」,,专门为了战斗而训练的军用大熊。虽然被称为北阿巴拉提亚山脉之主，但据说面对驯服了原初之力的真正战士时，只需要四目相交就能让它臣服。想必是它那野生的直觉在瞬间便感受到了能力高低的缘故吧。,0
068490.tex,004490.tex,4.x,1,斗狮,完成成就「为人民服务的骑士3」,,专门为了战斗而训练的军用狮子。乌尔达哈的近卫兵团“银胄团”为了复兴过去的传统而将其选为了坐骑。在从近东萨维奈邀请到的驯兽师的调教下，已经养成了完美的举止。,0
068489.tex,004489.tex,4.x,1,魔导猎手,鏖战红莲 阿拉米格-稀有掉落,,被人丢弃在阿拉米格城郭内的魔导猎手。虽然是以魔导死神为原型制作出来的强化近战能力与生产力的类型，但这台机体看上去却像是省略了武装，将剩余输出全部分给飞行功能的试制样品。,0
068488.tex,004488.tex,4.x,1,狂欢神威,须佐之男歼殛战-稀有掉落,,受到豪神须佐之男的祝福，散发着豪放之气的巨狼。它的出现有可能是因为甲人族把巨狼当成供品献给蛮神的缘故。,0
068487.tex,004487.tex,4.x,1,极乐神威,吉祥天女歼殛战-稀有掉落,,受到美神吉祥天女的祝福，散发着高贵光芒的巨狼。它的出现有可能是因为阿难陀族把巨狼当成供品献给蛮神的缘故。,0
068486.tex,004486.tex,4.05,1,飞隼号,4.0开启后，累积续费满3个月,,加隆德炼铁厂生产的小型试制飞空艇，由该厂干劲十足的机械师魏吉开发，目标是成为世界上最快的单座式飞空艇，但却在挑战极限的飞行测试中不幸坠落。现在已经装上了限制器。,0
068485.tex,004485.tex,4.x,1,希尔德拉,4.0电子典藏包-购买获得,,相传生活在大洋里的梦幻海龙。它的模样与传说中为自己的女海盗朋友拖拽海盗船的海龙一模一样。虽然不能像龙族那样说话，但据说只要被它视为了朋友，就能与它心意相通。,0
068484.tex,004484.tex,3.5,1,贤者座椅,"750,000金蝶币兑换",,浮在空中的不可思议的座椅。是从龙堡参天高地的萨雷安遗迹中发现的。似乎是为了在迦巴勒幻想图书馆中拿到高处的书籍而制造出来的魔法道具。,0
068483.tex,004483.tex,3.x,1,首领妖精犬,群狼盛宴第四赛季，组队排位名次前一百名,,生活在虚无界的狰狞魔兽。闪着银光的皮毛被深沉的黑暗染成了诡异的色调。虽然一直以首领的身份行走在危险的世界中，但据说浑身充满冰冷杀气的身经百战的强者却能够得到它的允许，骑在它的身上。,0
068482.tex,004482.tex,3.x,1,孤傲妖精犬,群狼盛宴第四赛季，单人排位名次前一百名,,生活在虚无界的狰狞魔兽。闪着银光的皮毛被猎物的血染成了妖艳的色调。虽然一直独自行走在危险的世界中，但据说浑身充满灼热斗气的身经百战的强者却能够得到它的允许，骑在它的身上。,0
068481.tex,004481.tex,3.55,1,首领地狱犬,群狼盛宴第三赛季，组队排位名次前一百名,,生活在虚无界的残暴魔兽。率领众多魔兽在危险的世界连战连胜，散发出令人战栗的威慑感。想必只有浑身充满冰冷杀气的身经百战的强者才能够得到它的允许，骑在它的身上。,0
068480.tex,004480.tex,3.55,1,孤傲地狱犬,群狼盛宴第三赛季，单人排位名次前一百名,,生活在虚无界的残暴魔兽。从不追随任何妖异，以一己之力在那危险的世界存活，目光十分锐利。想必只有浑身充满灼热斗气的身经百战的强者才能够得到它的允许，骑在它的身上。,0
068479.tex,004479.tex,3.5,1,彩蛋系统,2018年复活节奖励,,用不可思议的力量浮在空中的彩蛋。是诺诺塔他们为了实现吉莉·阿里亚珀的梦境而用圣寇伊纳克财团发掘的古代文明遗物改造的。,0
068478.tex,004478.tex,3.5,1,凤凰,搜集全部蛮神鸟后，去田园郡找想要带路的冒险者（x12y11）<br/>完成任务「凤鸣朝阳」,,在东洲传说有这样一种神鸟——每当它寿命将至，就会用如同太阳一般耀眼的金色火焰烧尽自己，然后从灰中复活。虽然人类可以通过仙人制作的魔笛向凤凰发出呼唤，但是万鸟之主仅会回应它认可的英雄。,0
068477.tex,004477.tex,3.5,1,厉鬼猎鹰,祖尔宛歼殛战-稀有掉落,,受到鬼神祖尔宛祝福，全身缠绕着惊人杀气的巨隼。根据南方大陆人马族的传说，当与邪恶敌人开战前，鬼神会派遣它来宣告正义的裁决。,0
068476.tex,004476.tex,3.5,1,雷刚,完成成就「雷刚」,,只有经过无数战场洗礼的真正强者才配拥有的魔导马。雷刚比其他魔导马都要强壮，其装甲闪耀着黑色的光芒，似乎象征着背负的罪业……,0
068475.tex,004475.tex,3.5,1,银牙,完成成就「银牙」,,装甲闪耀着银色光芒的魔导马。只有斩杀了无数敌人并且通过“内心的试炼”的强者才被允许骑乘。,0
068474.tex,004474.tex,3.5,1,轰天,完成成就「轰天」,,装甲闪耀着金色光芒的魔导马。只有通过“内心的试炼”的强者才被允许骑乘。,0
068473.tex,004473.tex,3.4,1,阿里达乌斯,通关亚历山大机工城零式:天动篇4层,,使用亚历山大机神城内部的设备自动生成的攻击性终端。据说是用于时间干涉攻击而制造出来的。在激烈的战斗过后，对其进行了改造，解除了武装，现在可以作为骑乘工具来使用。,0
068472.tex,004472.tex,3.4,1,黑天马,死者宫殿151-200层「金饰宝藏」一定几率开出,,十分罕见的黑色天马，据说是在曾属于魔大陆一部分的传承之地发现的。如果是庸人骑在它的背上将会必死无疑，因此也称它是黑死马。,0
068471.tex,004471.tex,3.4,1,睿智猎鹰,索菲亚歼殛战-稀有掉落,,受到女神索菲娅祝福，散发着神圣氛围的巨隼。传说，当世间陷入混乱之际，女神会派遣神鸟播撒天平的砝码，来确保平衡。另外还有种说法称，这“砝码”指的就是生于人世的“英雄”。,0
068470.tex,004470.tex,3.5,1,仙术熊猫,道具商城购买,,从东洲奥萨德次大陆山岳地带深处的“蛇口”来到这里的熊猫。相传已经活了一千年，学会了仙术，能用不可思议的力量浮在空中。它似乎在寻找能够拯救东洲危机的英雄。,0
